Day,Bitcoin
2017-11-08,243.59092521364443
2017-11-09,230.77035020239998
2017-11-10,269.2320752361333
2017-11-11,256.41150022488887
2017-11-12,333.33495029235553
2017-11-13,294.8732252586222
2017-11-14,230.77035020239998
2017-11-15,230.77035020239998
2017-11-16,243.59092521364443
2017-11-17,256.41150022488887
2017-11-18,205.1292001799111
2017-11-19,205.1292001799111
2017-11-20,256.41150022488887
2017-11-21,269.2320752361333
2017-11-22,230.77035020239998
2017-11-23,217.94977519115554
2017-11-24,205.1292001799111
2017-11-25,217.94977519115554
2017-11-26,333.33495029235553
2017-11-27,423.07897537106663
2017-11-28,500.0024254385333
2017-11-29,794.8756506971555
2017-11-30,653.8493255734666
2017-12-01,500.0024254385333
2017-12-02,410.2584003598222
2017-12-03,397.43782534857775
2017-12-04,448.7201253935555
2017-12-05,461.54070040479996
2017-12-06,641.0287505622222
2017-12-07,1243.595776090711
2017-12-08,1128.210600989511
2017-12-09,743.5933506521777
2017-12-10,717.9522006296888
2017-12-11,833.3373757308889
2017-12-12,756.4139256634221
2017-12-13,692.3110506072
2017-12-14,628.2081755509778
2017-12-15,576.925875506
2017-12-16,564.1053004947555
2017-12-17,641.0287505622222
2017-12-18,628.2081755509778
2017-12-19,666.6699005847111
2017-12-20,884.6196757758667
2017-12-21,679.4904755959556
2017-12-22,1282.0575011244443
2017-12-23,846.1579507421333
2017-12-24,653.8493255734666
2017-12-25,564.1053004947555
2017-12-26,538.4641504722666
2017-12-27,512.8230004497777
2017-12-28,525.6435754610222
2017-12-29,461.54070040479996
2017-12-30,461.54070040479996
2017-12-31,384.6172503373333
2018-01-01,367.72418696921807
2018-01-02,422.4916190710165
2018-01-03,438.1394568143875
2018-01-04,430.315537942702
2018-01-05,430.315537942702
2018-01-06,383.37202471258905
2018-01-07,375.54810584090353
2018-01-08,406.8437813276455
2018-01-09,406.8437813276455
2018-01-10,414.667700199331
2018-01-11,461.611213429444
2018-01-12,391.1959435842745
2018-01-13,336.4285114824761
